,ingredients,first_ingredient,second_ingredient,third_ingredient,fourth_ingredient
187,"Whole wheat rava, chia seed, lemon, edible gum, litre milk",Whole wheat rava, chia seed, lemon, edible gum
188,"Green chilies, lemon juice, chili powder, boiled potatoes",Green chilies, lemon juice, chili powder, boiled potatoes
192,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili",Green chili paste, white sesame seeds, gram flour, curry leaves
193,"Rice flour, urad dal, wheat flour, gram flour, turmeric",Rice flour, urad dal, wheat flour, gram flour
194,"Cinnamon, jaggery, clarified butter, dry roasted",Cinnamon, jaggery, clarified butter, dry roasted
195,"Cucumber, carrot, tomatoes, cilantro",Cucumber, carrot, tomatoes, cilantro
196,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves",Rava, gram flour, lemon juice, turmeric
197,"Rose water, pistachio, badam, bengal gram flour, saffron",Rose water, pistachio, badam, bengal gram flour
198,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",Bottle gourd, whole wheat flour, rava, sesame seeds
199,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",Arbi ke patte, sesame seeds, gur, bengal gram flour
200,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",Pav bhaji masala, gobi, potatoes, green peas
201,"Aloo, urad dal, mustard, ginger, curry leaves",Aloo, urad dal, mustard, ginger
202,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",Raw peanuts, sabudana, lemon, avocado oil
203,"Khaman, pomegranate, sev, powdered sugar, garlic",Khaman, pomegranate, sev, powdered sugar
204,"Sev, ginger, tomato, sugar",Sev, ginger, tomato, sugar
205,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",Wheat flour, baking soda, all purpose flour, black pepper
207,"Rice flakes, yogurt, raw rice, jaggery, grated coconut",Rice flakes, yogurt, raw rice, jaggery
208,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",Whole wheat flour, rice flour, pearl millet flour, sorghum flour
209,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas",Sweet potato, surti papdi, baby potatoes, valor papdi
210,"Gobi, potato, beans, khus khus, coconut",Gobi, potato, beans, khus khus
211,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon",Chicken, coconut oil, wine vinegar, ginger
212,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",Green garlic chutney, fresh green peas, ginger, lemon juice
213,"Moong beans, jaggery, red chillies, oil, salt",Moong beans, jaggery, red chillies, oil
214,"Rice flour, sesame seeds, baking soda, peanut oil",Rice flour, sesame seeds, baking soda, peanut oil
215,"Chickpea flour, methi leaves, jowar flour, wheat flour",Chickpea flour, methi leaves, jowar flour, wheat flour
216,"Semolina, clarified butter, oil, white flour, black pepper",Semolina, clarified butter, oil, white flour
217,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour",Yogurt, fresh coconut, sesame seeds, semolina
218,"Ridge gourd, baking soda, sugar, grated coconut, peas",Ridge gourd, baking soda, sugar, grated coconut
219,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur",Whole wheat flour, khus khus, sesame seeds, dry coconut
221,"Sticky rice, rice flour, jaggery, orange rind",Sticky rice, rice flour, jaggery, orange rind
222,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",Raw papaya, panch phoran masala, nigella seeds, mustard oil
223,"Rice, eggs, carrot, beetroot",Rice, eggs, carrot, beetroot
225,"Potatoes, mustard oil, fish, green chillies",Potatoes, mustard oil, fish, green chillies
226,"Ridge gourd, fish, lemon, tomatoes, mustard oil",Ridge gourd, fish, lemon, tomatoes
227,"Brinjal, onions, salt, sesame seeds, coriander",Brinjal, onions, salt, sesame seeds
228,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",Potatoes, garam masala, tomatoes, mustard oil
229,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",Forbidden black rice, chicken, olive oil, slivered almonds
230,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",Biryani masala, mixed vegetables, yellow moong daal, whole red
232,"Coconut milk, lobster, fresh green chilli, ginger, red onion",Coconut milk, lobster, fresh green chilli, ginger
233,"Baking soda, clarified butter, oil, all purpose flour",Baking soda, clarified butter, oil, all purpose flour
235,"Lamb, garam masala powder, curd, turmeric, bay leaf",Lamb, garam masala powder, curd, turmeric
236,"Coconut, prawns, curd, mustard seed, green chili",Coconut, prawns, curd, mustard seed
237,"Fish fillet, besan, lemon, mint, ginger",Fish fillet, besan, lemon, mint
238,"Fermented bamboo shoot, potato, ginger, green, mustard oil",Fermented bamboo shoot, potato, ginger, green
239,"Banana flower, chicken, green chili, mustard oil, lemon juice",Banana flower, chicken, green chili, mustard oil
240,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick",Aloo, tomatoes, mustard oil, bay leaf
241,"Rice flour, mutton, banana, gram flour, olive oil, baking powder",Rice flour, mutton, banana, gram flour
242,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato",Fish roe, pumpkin flowers, mustard oil, turmeric
243,"Chana dal, fresh coconut, ginger, cinnamon, raisins",Chana dal, fresh coconut, ginger, cinnamon
244,"Curd, cooked rice, curry leaves, dry chilli",Curd, cooked rice, curry leaves, dry chilli
245,"Tea leaves, white sesame seeds, dry coconut, soaked rice",Tea leaves, white sesame seeds, dry coconut, soaked rice
246,"Basmati rice, rose water, sugar, clarified butter, cardamom pods",Basmati rice, rose water, sugar, clarified butter
247,"Coconut milk, prawns, garlic, turmeric, sugar",Coconut milk, prawns, garlic, turmeric
248,"Red pepper, red onion, butter, watercress, olive oil",Red pepper, red onion, butter, watercress
249,"Green beans, bitter gourd, ridge gourd, banana, brinjal",Green beans, bitter gourd, ridge gourd, banana
251,"Coconut milk, egg yolks, clarified butter, all purpose flour",Coconut milk, egg yolks, clarified butter, all purpose flour
252,"Cottage cheese, dry dates, dried rose petals, pistachio, badam",Cottage cheese, dry dates, dried rose petals, pistachio
253,"Milk powder, dry fruits, arrowroot powder, all purpose flour",Milk powder, dry fruits, arrowroot powder, all purpose flour
254,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",Brown rice, fennel seeds, grated coconut, black pepper
